ts_utc,epoch,road_surface_temp,ambient_temp,dew_point_temp,rel_humidity_at_road_temp,water_film_height,water_film_surface,snow_height,ice_percentage,friction,road_condition,device_status,measurement_status,bt_signal_strength,bt_link_quality,lat,lon,speed_ms,altitude_geoid_m,hacc_m,gps_segment,bracket_s,gps_gap,marwis_session,saturated
2026-07-02T13:19:52.005+00:00,1782998392.005,29.3731689453125,26.429744720458984,19.57251739501953,55.626312255859375,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,,,44.804992,20.476384,0.0,127.47,3.8,1.0,1.0,0,131951Z,0
2026-07-02T13:19:53.110+00:00,1782998393.11,29.3731689453125,26.429744720458984,19.57456970214844,55.63340377807617,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.0,0,131951Z,0
2026-07-02T13:19:54.025+00:00,1782998394.025,29.3731689453125,26.429744720458984,19.560497283935547,55.58481979370117,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804992,20.476384,0.0,127.47,3.8,1.0,0.999,0,131951Z,0
2026-07-02T13:19:55.046+00:00,1782998395.046,29.50016593933105,26.429744720458984,19.54439926147461,55.124122619628906,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.001,0,131951Z,0
2026-07-02T13:19:56.073+00:00,1782998396.073,29.28729248046875,26.429744720458984,19.53634452819824,55.77727508544922,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.0,0,131951Z,0
2026-07-02T13:19:57.101+00:00,1782998397.101,29.3724365234375,26.429744720458984,19.52828788757324,55.476112365722656,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.0,0,131951Z,0
2026-07-02T13:19:58.101+00:00,1782998398.101,29.3724365234375,26.429744720458984,19.520227432250977,55.44835662841797,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,0.999,0,131951Z,0
2026-07-02T13:19:59.127+00:00,1782998399.127,29.3724365234375,26.429744720458984,19.520227432250977,55.44835662841797,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.001,0,131951Z,0
2026-07-02T13:20:00.265+00:00,1782998400.265,29.3724365234375,26.429744720458984,19.520227432250977,55.44835662841797,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.001,0,131951Z,0
2026-07-02T13:20:01.071+00:00,1782998401.071,29.3724365234375,26.429744720458984,19.520227432250977,55.44835662841797,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.002,0,131951Z,0
2026-07-02T13:20:02.194+00:00,1782998402.194,29.3724365234375,26.429744720458984,19.520227432250977,55.44835662841797,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,0.995,0,131951Z,0
2026-07-02T13:20:03.109+00:00,1782998403.109,29.3724365234375,26.429744720458984,19.514179229736328,55.42753219604492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804992,20.476384,0.0,127.47,3.8,1.0,1.002,0,131951Z,0
2026-07-02T13:20:04.139+00:00,1782998404.139,29.28729248046875,26.43387794494629,19.50611114501953,55.67264938354492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804991,20.476385,0.044,127.44,3.8,1.0,1.0,0,131951Z,0
2026-07-02T13:20:05.155+00:00,1782998405.155,29.35115623474121,26.438007354736328,19.4980411529541,55.44002914428711,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804988,20.476389,0.191,127.24,3.8,1.0,0.997,0,131951Z,0
2026-07-02T13:20:06.167+00:00,1782998406.167,29.3724365234375,26.438007354736328,19.49197006225586,55.35112762451172,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804988,20.47639,0.12,126.97,3.8,1.0,1.005,0,131951Z,0
2026-07-02T13:20:07.182+00:00,1782998407.182,29.3724365234375,26.442138671875,19.47782516479492,55.30250930786133,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,88.0,44.804988,20.47639,0.0,126.99,3.82,1.0,0.998,0,131951Z,0
2026-07-02T13:20:08.316+00:00,1782998408.316,29.286561965942383,26.45039367675781,19.46164321899414,55.52141571044922,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804981,20.476394,0.0,127.33,3.81,1.0,0.984,0,131951Z,0
2026-07-02T13:20:09.234+00:00,1782998409.234,29.414291381835938,26.45039367675781,19.44747543334961,55.06522750854492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.80497,20.476401,0.0,127.84,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:10.147+00:00,1782998410.147,29.4355697631836,26.45865249633789,19.44747543334961,54.99769592285156,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.80497,20.476401,0.0,127.85,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:11.258+00:00,1782998411.258,29.414291381835938,26.45865249633789,19.44747543334961,55.06522750854492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.80497,20.476401,0.0,127.83,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:12.174+00:00,1782998412.174,29.414291381835938,26.45865249633789,19.44747543334961,55.06522750854492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.80497,20.476401,0.0,127.81,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:13.291+00:00,1782998413.291,29.414291381835938,26.462779998779297,19.44747543334961,55.06522750854492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.476401,0.0,127.8,3.79,1.0,0.999,0,131951Z,0
2026-07-02T13:20:14.318+00:00,1782998414.318,29.32914924621582,26.466907501220703,19.453548431396484,55.35726165771485,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.4764,0.0,127.81,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:15.361+00:00,1782998415.361,29.201385498046875,26.462778091430664,19.453548431396484,55.767127990722656,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.4764,0.0,127.79,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:16.277+00:00,1782998416.277,29.22269630432129,26.466907501220703,19.453548431396484,55.69852828979492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.4764,0.0,127.76,3.79,1.0,0.998,0,131951Z,0
2026-07-02T13:20:17.299+00:00,1782998417.299,29.286561965942383,26.462778091430664,19.44747543334961,55.47256088256836,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.4764,0.0,127.73,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:18.311+00:00,1782998418.311,29.201385498046875,26.45865249633789,19.44747543334961,55.74608612060547,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,96.0,44.804969,20.4764,0.0,127.72,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:19.342+00:00,1782998419.342,29.32914924621582,26.45865249633789,19.44747543334961,55.33637619018555,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,96.0,44.804968,20.4764,0.0,127.73,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:20.462+00:00,1782998420.462,29.286561965942383,26.45039749145508,19.44747543334961,55.47256088256836,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,96.0,44.804968,20.4764,0.0,127.73,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:21.380+00:00,1782998421.38,29.4355697631836,26.45039749145508,19.44747543334961,54.99769592285156,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,96.0,44.804968,20.4764,0.0,127.73,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:22.406+00:00,1782998422.406,29.32914924621582,26.45039749145508,19.44747543334961,55.33637619018555,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,96.0,44.804968,20.4764,0.0,127.73,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:23.438+00:00,1782998423.438,29.414291381835938,26.446264266967773,19.44747543334961,55.06522750854492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.4764,0.0,127.74,3.79,1.0,0.999,0,131951Z,0
2026-07-02T13:20:24.483+00:00,1782998424.483,29.414291381835938,26.438007354736328,19.439373016357425,55.03750991821289,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.4764,0.0,127.77,3.79,1.0,0.999,0,131951Z,0
2026-07-02T13:20:25.392+00:00,1782998425.392,29.32914924621582,26.438007354736328,19.439373016357425,55.30852127075195,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.4764,0.0,127.81,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:26.417+00:00,1782998426.417,29.4355697631836,26.43387794494629,19.439373016357425,54.97001266479492,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.476399,0.0,127.84,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:27.458+00:00,1782998427.458,29.32914924621582,26.43387794494629,19.439373016357425,55.30852127075195,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.4764,0.0,127.89,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:28.487+00:00,1782998428.487,29.32914924621582,26.429744720458984,19.439373016357425,55.30852127075195,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.4764,0.0,127.94,3.79,1.0,0.999,0,131951Z,0
2026-07-02T13:20:29.607+00:00,1782998429.607,29.32914924621582,26.429744720458984,19.449443817138672,55.3431396484375,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.476401,0.0,127.97,3.79,1.0,1.001,0,131951Z,0
2026-07-02T13:20:30.521+00:00,1782998430.521,29.32914924621582,26.429744720458984,19.439373016357425,55.30852127075195,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804968,20.476401,0.0,127.99,3.79,1.0,1.0,0,131951Z,0
2026-07-02T13:20:31.548+00:00,1782998431.548,29.349693298339844,26.429744720458984,19.439373016357425,55.24298858642578,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.476401,0.0,128.01,3.79,1.0,0.998,0,131951Z,0
2026-07-02T13:20:32.578+00:00,1782998432.578,29.32914924621582,26.429744720458984,19.449443817138672,55.3431396484375,0.0,0.0,0.0,0.0,0.8200000524520874,0.0,0.0,0.0,0.0,100.0,44.804969,20.476402,0.0,128.04,3.79,1.0,1.001,0,131951Z,0
