ts_utc,lat,lon,channel,name,unit,value,status
2026-07-02T13:48:59.608+00:00,,,100,road_surface_temp,degC,26.75514793395996,0
2026-07-02T13:48:59.608+00:00,,,110,ambient_temp,degC,24.148113250732422,0
2026-07-02T13:48:59.608+00:00,,,120,dew_point_temp,degC,21.70270347595215,0
2026-07-02T13:48:59.608+00:00,,,200,rel_humidity_at_road_temp,%,73.87189483642578,0
2026-07-02T13:48:59.608+00:00,,,600,water_film_height,um,488.20751953125,0
2026-07-02T13:48:59.608+00:00,,,601,water_film_surface,um,178.92352294921875,0
2026-07-02T13:48:59.608+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:48:59.608+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:48:59.608+00:00,,,820,friction,,0.7387785911560059,0
2026-07-02T13:48:59.608+00:00,,,900,road_condition,code,2,0
2026-07-02T13:48:59.608+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:48:59.608+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:48:59.608+00:00,,,4040,bt_signal_strength,dBm,,43
2026-07-02T13:48:59.608+00:00,,,4041,bt_link_quality,%,,43
2026-07-02T13:49:00.596+00:00,,,100,road_surface_temp,degC,26.75514793395996,0
2026-07-02T13:49:00.596+00:00,,,110,ambient_temp,degC,24.148113250732422,0
2026-07-02T13:49:00.596+00:00,,,120,dew_point_temp,degC,21.714763641357422,0
2026-07-02T13:49:00.596+00:00,,,200,rel_humidity_at_road_temp,%,73.92632293701172,0
2026-07-02T13:49:00.596+00:00,,,600,water_film_height,um,407.2709655761719,0
2026-07-02T13:49:00.596+00:00,,,601,water_film_surface,um,145.50967407226562,0
2026-07-02T13:49:00.596+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:49:00.596+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:49:00.596+00:00,,,820,friction,,0.7518253326416016,0
2026-07-02T13:49:00.596+00:00,,,900,road_condition,code,2,0
2026-07-02T13:49:00.596+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:49:00.596+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:49:00.596+00:00,,,4040,bt_signal_strength,dBm,,43
2026-07-02T13:49:00.596+00:00,,,4041,bt_link_quality,%,,43
2026-07-02T13:49:01.618+00:00,,,100,road_surface_temp,degC,26.84037208557129,0
2026-07-02T13:49:01.618+00:00,,,110,ambient_temp,degC,24.148113250732422,0
2026-07-02T13:49:01.618+00:00,,,120,dew_point_temp,degC,21.721649169921875,0
2026-07-02T13:49:01.618+00:00,,,200,rel_humidity_at_road_temp,%,73.58775329589844,0
2026-07-02T13:49:01.618+00:00,,,600,water_film_height,um,579.2669067382812,0
2026-07-02T13:49:01.618+00:00,,,601,water_film_surface,um,219.08465576171875,0
2026-07-02T13:49:01.618+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:49:01.618+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:49:01.618+00:00,,,820,friction,,0.7242084741592407,0
2026-07-02T13:49:01.618+00:00,,,900,road_condition,code,2,0
2026-07-02T13:49:01.618+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:49:01.618+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:49:01.618+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:49:01.618+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:49:02.634+00:00,,,100,road_surface_temp,degC,26.882951736450195,0
2026-07-02T13:49:02.634+00:00,,,110,ambient_temp,degC,24.148113250732422,0
2026-07-02T13:49:02.634+00:00,,,120,dew_point_temp,degC,21.7268123626709,0
2026-07-02T13:49:02.634+00:00,,,200,rel_humidity_at_road_temp,%,73.42698669433594,0
2026-07-02T13:49:02.634+00:00,,,600,water_film_height,um,551.2879028320312,0
2026-07-02T13:49:02.634+00:00,,,601,water_film_surface,um,206.42138671875,0
2026-07-02T13:49:02.634+00:00,,,612,snow_height,mm,0.0,0
