ts_utc,lat,lon,channel,name,unit,value,status
2026-07-02T13:19:56.073+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:19:57.101+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:19:57.101+00:00,,,110,ambient_temp,degC,26.429744720458984,0
2026-07-02T13:19:57.101+00:00,,,120,dew_point_temp,degC,19.528287887573242,0
2026-07-02T13:19:57.101+00:00,,,200,rel_humidity_at_road_temp,%,55.476112365722656,0
2026-07-02T13:19:57.101+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:19:57.101+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:19:57.101+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:19:57.101+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:19:57.101+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:19:57.101+00:00,,,900,road_condition,code,0,0
2026-07-02T13:19:57.101+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:19:57.101+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:19:57.101+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:19:57.101+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:19:58.101+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:19:58.101+00:00,,,110,ambient_temp,degC,26.429744720458984,0
2026-07-02T13:19:58.101+00:00,,,120,dew_point_temp,degC,19.520227432250977,0
2026-07-02T13:19:58.101+00:00,,,200,rel_humidity_at_road_temp,%,55.44835662841797,0
2026-07-02T13:19:58.101+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:19:58.101+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:19:58.101+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:19:58.101+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:19:58.101+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:19:58.101+00:00,,,900,road_condition,code,0,0
2026-07-02T13:19:58.101+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:19:58.101+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:19:58.101+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:19:58.101+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:19:59.127+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:19:59.127+00:00,,,110,ambient_temp,degC,26.429744720458984,0
2026-07-02T13:19:59.127+00:00,,,120,dew_point_temp,degC,19.520227432250977,0
2026-07-02T13:19:59.127+00:00,,,200,rel_humidity_at_road_temp,%,55.44835662841797,0
2026-07-02T13:19:59.127+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:19:59.127+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:19:59.127+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:19:59.127+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:19:59.127+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:19:59.127+00:00,,,900,road_condition,code,0,0
2026-07-02T13:19:59.127+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:19:59.127+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:19:59.127+00:00,,,4040,bt_signal_strength,dBm,0,0
